type,id,version,timestamp,changeset,user,uid,lat,lon,tag:name,tag:natural,tag:tourism,tag:wikidata,tag:wikipedia,tag:int_name,tag:name:de,tag:name:en,tag:archaeological_site,tag:historic,tag:historic:civilization,tag:heritage,tag:heritage:RS:criteria,tag:historic:period,tag:inscription,tag:inscription:url,tag:material,tag:memorial,tag:name:da,tag:name:fr,tag:name:hu,tag:name:it,tag:name:la,tag:name:ro,tag:name:sr,tag:name:sr-Latn,tag:ref:RS:nkd,tag:since,tag:wikimedia_commons,tag:access,tag:ele,tag:source_ref
node,337519639,5,2017-03-11T12:47:56Z,46761685,sbiribizio,354284,40.495534,15.2091978,Grotte di Castelcivita,cave_entrance,attraction,Q3777120,it:Grotte di Castelcivita,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,369821847,7,2025-11-08T13:22:26Z,174376101,SomeoneElse_Revert,1778799,43.0892646,23.3849053,Темната дупка,cave_entrance,,Q12296153,,Temnata dupka,Temnata dupka (Dunkles Loch),Temnata dupka,,,,,,,,,,,,,,,,,,,,,,,,
node,1221172611,8,2026-02-02T17:35:55Z,178017325,NikosSkouteris,497621,37.4224939,23.1311197,Σπήλαιο Φράχθι,,,Q1441331,en:Franchthi Cave,,,Franchthi Cave,settlement,archaeological_site,prehistoric,,,,,,,,,,,,,,,,,,,,,
node,1918839400,21,2025-03-08T12:55:06Z,163363013,andershl,408226,44.6567794,22.3099321,Трајанова табла,,attraction,Q2091689,sr:Трајанова табла,Trajanova tabla,Tafel des Traian,Trajan's Plaque,,memorial,,2,exceptional,principate,IMP CAESAR DIVI NERVAE F NERVA TRAIANVS AUG GERM PONTIF MAXIMVS TRIB POT IIII PATER PATRIAE COS III MONTIBVS EXCISI. ANCO..BVS SVBLATIS VIA.E.,IMP CAESAR DIVI NERVAE F / NERVA TRAIANVS AUG GERM / PONTIF MAXIMVS TRIB POT IIII / PATER PATRIAE COS III / MONTIBVS EXCISI. ANCO..BVS / SVBLATIS VIA .E.,stone,stele,Trajantavlen,Table de Trajan,Traianus táblája,Tabula Traiana,Tabula Traiana,Tabula Traiana,Трајанова табла,Trajanova tabla,SK609,103,File:RC174-Tabula_Traiana.JPG,,,
node,2293681037,7,2023-07-15T10:52:08Z,138539870,ChillyDL,10627331,41.654115,15.6149763,Grotta Paglicci,,,Q3777010,it:Grotta Paglicci,,,,rock_painting,archaeological_site,prehistoric,,,,,,,,,,,,,,,,,,,no,,
node,7778324735,3,2023-08-13T15:29:57Z,139830366,fthierygeo,8813335,32.9001953,22.0515628,Haua Fteah Cave,cave_entrance,,Q25226810,en:Haua Fteah,,,,,archaeological_site,,,,,,,,,,,,,,,,,,,,,67,
node,8814442373,2,2023-08-13T16:19:26Z,139832384,fthierygeo,8813335,43.6518818,22.7024397,Козарника,cave_entrance,,Q2037533,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10879170567,5,2024-07-19T00:21:01Z,154122749,celicni,130956,42.7789851,18.4814542,Crvena stijena,,,Q121418883,bs:Crvena stijena (Crna Gora),,,Red wall,megalith,archaeological_site,neolithic,,,,,,,,,,,,,,Црвена стијена,,,,,,,
node,11107939919,2,2023-08-11T16:06:16Z,139756979,fthierygeo,8813335,41.8117124,21.1617392,Голема Пеш,,,Q20565511,mk:Голема Пеш,,,Golema Pesht,settlement,archaeological_site,prehistoric,,,,,,,,,,,,,,,,,,,,,
node,11109379095,1,2023-08-12T10:55:32Z,139782501,fthierygeo,8813335,43.1907029,24.0052556,Toplitsa Cave,cave_entrance,,Q61788595,,,,,,,,,,,,,,,,,,,,,,,,,,,300,10.1016/j.jasrep.2021.102912
